codigo;estoque;produto;preco_venda;categoria
001;45;Papel A4;23.759998;papelaria
002;666;Limpa Vidros;11.736;limpeza
003;3;Caneta Bic;2.9520001;papelaria
005;76;Envelope A4;1.44;papelaria
008;1234;Balde 7l;41.232002;limpeza
011;23;Cafeteira ;366.47998;eletro
012;1;Televisor 32â€?;2112.0;eletro
013;7;Celular xing ling;959.97595;eletro
014;44;Grill George Foremann;534.62396;eletro
004;6;Televisor 55â€?;5044.8;eletro
006;15;Teclado Bluetooth;473.784;informÃ¡tica
234;6;Papel Higiï¿½nico;47.616;higiene
12333;324;papel;181.968;trf
